B51Generator	12	8	0	0	0
B51AceGenerator	12	8	0	0	0
BespokeGenerator	12	4	4	0	0
MoreSamplesGenerator	7	5	2	6	0
B51SEGenerator	6	6	2	5	1
MoreEpochsGenerator	6	6	1	5	2
